YEAR,COUNTY_CODE,COUNTY_NAME,SECTOR_CODE,SECTOR,SCHOOL_TYPE_CODE,SCHOOL_TYPE,SCHOOL_LEVEL_CODE,SCHOOL_LEVEL,SEDCODE,INST_ID,LEGAL_NAME,UNDERGRADUATE_FULLTIME_TOTAL,UNDERGRADUATE_FT_ENR_PROGRAM,UNDERGRADUATE_FT_NOT_ENR_PROGRAM,UNDERGRADUATE_PARTTIME,UNDERGRADUATE_PT_ENR_PROGRAM,UNDERGRADUATE_PT_NOT_ENR_PROGRAM,FIRST_PROFESSIONAL_FULLTIME,FIRST_PROFESSIONAL_PARTTIME,GRADUATE_FULLTIME,GRADUATE_PARTTIME,ALL_STUDENTS_FULLTIME,ALL_STUDENTS_PARTTIME,FIRST_TIME_FULLTIME,FIRST_TIME_PARTTIME,TOTAL,FTE
2012,01,ALBANY,4,PUBLIC - SPECIAL,0,PUBLIC,1,4-Year/Grad,110000,800000070361,NYSDOH WADSWORTH CENTER FOR LABORATORIES & RSRC,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,4
2013,01,ALBANY,4,PUBLIC - SPECIAL,0,PUBLIC,1,4-Year/Grad,110000,800000070361,NYSDOH WADSWORTH CENTER FOR LABORATORIES & RSRC,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,5
2014,01,ALBANY,4,PUBLIC - SPECIAL,0,PUBLIC,1,4-Year/Grad,110000,800000070361,NYSDOH WADSWORTH CENTER FOR LABORATORIES & RSRC,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,8
2015,01,ALBANY,4,PUBLIC - SPECIAL,0,PUBLIC,1,4-Year/Grad,110000,800000070361,NYSDOH WADSWORTH CENTER FOR LABORATORIES & RSRC,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,5
2016,01,ALBANY,4,PUBLIC - SPECIAL,0,PUBLIC,1,4-Year/Grad,110000,800000070361,NYSDOH WADSWORTH CENTER FOR LABORATORIES & RSRC,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,6
2017,01,ALBANY,4,PUBLIC - SPECIAL,0,PUBLIC,1,4-Year/Grad,110000,800000070361,NYSDOH WADSWORTH CENTER FOR LABORATORIES & RSRC,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,5
2010,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12139,12038,101,820,585,235,0,0,2279,2377,14418,3197,2248,70,17615,15642.13
2011,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,11925,11827,98,830,603,227,0,0,2117,2242,14042,3072,2429,55,17114,15215.47
2012,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12064,12001,63,814,634,180,0,0,2179,2255,14243,3069,2567,33,17312,15416.33
2013,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12055,11968,87,767,574,193,0,0,2343,2173,14398,2940,2571,35,17338,15522.87
2014,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12191,12095,96,738,564,174,0,0,2218,2126,14409,2864,2555,44,17273,15505.4
2015,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12223,12151,72,8520,547,7973,0,0,2218,2053,14441,10573,2594,28,25014,18102.2
2016,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12421,12387,34,8307,568,7739,0,0,2099,2135,14520,10442,2724,35,24962,18143
2017,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12740,12703,37,8333,617,7716,0,0,2109,2126,14849,10459,2816,28,25308,18477.07
2018,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12899,12871,28,8928,563,8365,0,0,2157,2189,15056,11117,2768,20,26173,18907.6
2019,01,ALBANY,0,SUNY,0,PUBLIC,1,4-Year/Grad,210500,800000055597,STATE UNIVERSITY OF NEW YORK AT ALBANY,12568,12548,20,718,605,113,0,0,2108,2150,14676,2868,2670,19,17544,15775.33
2010,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,11381,11365,16,406,380,26,0,0,1688,1420,13069,1826,2229,93,14895,13772.33
2011,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,11464,11458,6,397,370,27,0,0,1566,1319,13030,1716,2435,83,14746,13689.93
2012,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,11904,11877,27,452,419,33,3,8,1679,1262,13586,1722,2589,95,15308,14244.67
2013,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,12559,12548,11,438,392,46,4,14,1820,1242,14383,1694,2585,49,16077,15031.4
2014,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,12908,12906,2,504,466,38,4,11,1940,1328,14852,1843,2528,82,16695,15555.6
2015,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,13054,13045,9,437,420,17,5,10,2054,1353,15113,1800,2594,69,16913,15803.87
2016,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,13185,13179,6,447,399,48,12,0,2141,1507,15338,1954,2642,70,17292,16089.8
2017,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,13337,13334,3,371,359,12,4,7,2093,1510,15434,1888,2673,65,17322,16164.47
2018,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,13630,13627,3,391,363,28,154,0,1971,1622,15755,2013,2907,43,17768,16534.13
2019,03,BROOME,0,SUNY,0,PUBLIC,1,4-Year/Grad,211000,800000055037,STATE UNIVERSITY OF NEW YORK AT BINGHAMTON,13845,13844,1,323,315,8,238,0,2082,1641,16165,1964,2893,21,18129,16929.07
2010,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,18013,17952,61,1433,1261,172,1973,5,4273,3420,24259,4858,3357,39,29117,26106.67
2011,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,17664,17507,157,1670,1487,183,1942,6,4095,3472,23701,5148,3234,32,28849,25648.87
2012,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,17766,17598,168,1893,1531,362,2303,40,3967,3160,24036,5093,3617,39,29129,25947
2013,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,18091,17793,298,1740,1572,168,2293,60,4432,3234,24816,5034,3652,19,29850,26713.6
2014,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,18166,17991,175,1716,1497,219,2285,86,4137,3605,24588,5407,3506,20,29995,26636.4
2015,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,18452,18336,116,1501,1358,143,2224,96,4178,3357,24854,4954,3688,14,29808,26735.53
2016,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,18824,18732,92,1588,1370,218,2303,4,4051,3414,25178,5006,4137,21,30184,27074.53
2017,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,19401,19316,85,1619,1419,200,2360,2,4395,3322,26156,4943,4231,11,31099,28025.27
2018,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,19941,19913,28,1671,1491,180,2391,5,4142,3358,26474,5034,4259,13,31508,28376.2
2019,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,211500,800000052554,STATE UNIVERSITY OF NEW YORK AT BUFFALO,20401,20374,27,1524,1386,138,2397,0,3964,3641,26762,5165,4282,17,31927,28726.4
2010,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,14853,14853,0,1284,1202,82,661,0,4334,3242,19848,4526,2733,8,24374,21572.8
2011,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,14485,14466,19,1300,1189,111,668,0,4469,2998,19622,4298,2516,4,23920,21254.53
2012,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,14445,14437,8,1271,1181,90,852,60,4416,2817,19713,4148,2680,17,23861,21287.47
2013,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,14754,14751,3,1099,1034,65,873,89,4279,2906,19906,4094,2708,1,24000,21470.33
2014,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,15189,15188,1,1095,1028,67,891,76,4370,2831,20450,4002,2852,3,24452,21977.8
2015,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,15575,15572,3,1108,1051,57,964,37,4408,3068,20947,4213,2836,0,25160,22558.33
2016,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,15858,15729,129,1168,1134,34,975,23,4444,3266,21277,4457,2931,3,25734,22981.93
2017,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,16142,16141,1,1151,1120,31,1005,0,4616,3042,21763,4193,3160,7,25956,23363.47
2018,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,16341,16243,98,1181,1164,17,992,18,4373,3351,21706,4550,3375,8,26256,23447.27
2019,58,SUFFOLK,0,SUNY,0,PUBLIC,1,4-Year/Grad,212000,800000037713,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,16697,16579,118,1212,1188,24,1001,18,4490,3396,22188,4626,3369,3,26814,23957.6
2010,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,193,193,0,156,149,7,793,0,223,337,1209,493,0,0,1702,1395.8
2011,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,184,184,0,165,152,13,807,0,230,365,1221,530,0,0,1751,1422
2012,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,213,213,0,139,122,17,866,2,205,374,1284,515,0,0,1799,1480.73
2014,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,216,216,0,128,122,6,849,3,300,369,1365,500,0,0,1865,1556.47
2015,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,160,160,0,187,186,1,841,10,299,368,1300,565,0,1,1865,1513.53
2016,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,262,262,0,76,76,0,835,0,351,315,1448,391,0,0,1839,1599.33
2017,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,213,213,0,14,12,2,859,0,397,309,1469,323,0,0,1792,1597.27
2018,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,193,193,0,18,18,0,870,0,465,300,1528,318,0,0,1846,1654
2019,33,KINGS,0,SUNY,0,PUBLIC,1,4-Year/Grad,221000,800000044751,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT BROOKLYN,178,178,0,4,4,0,857,0,548,312,1583,316,0,0,1899,1709.13
2010,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,211,211,0,88,80,8,634,0,352,252,1197,340,0,0,1537,1327.13
2011,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,213,213,0,83,75,8,635,0,405,253,1253,336,0,0,1589,1381.87
2012,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,211,211,0,91,84,7,730,44,328,231,1269,366,0,0,1635,1409.33
2014,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,174,174,0,61,58,3,741,46,325,169,1240,276,0,0,1516,1346.33
2015,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,160,160,0,59,57,2,729,37,352,143,1241,239,0,0,1480,1332.67
2016,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,154,154,0,57,53,4,777,0,384,119,1315,176,0,0,1491,1381.6
2017,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,163,163,0,87,83,4,734,0,368,132,1265,219,0,0,1484,1346.8
2018,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,165,165,0,84,83,1,786,15,389,153,1340,252,0,0,1592,1435.2
2019,42,ONONDAGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,222000,800000040737,STATE UNIVERSITY OF NEW YORK HEALTH SCIENCE CENTER AT SYRACUSE,153,153,0,85,82,3,802,0,417,131,1372,216,0,0,1588,1452.73
2010,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6645,6643,2,652,634,18,0,0,395,897,7040,1549,1048,0,8589,7616.13
2011,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6454,6451,3,712,690,22,0,0,365,882,6819,1594,1050,0,8413,7409.13
2012,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6444,6444,0,689,601,88,0,0,367,771,6811,1460,1083,2,8271,7349.07
2013,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6411,6410,1,679,630,49,0,0,318,720,6729,1399,1080,25,8128,7243.33
2014,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6304,6304,0,736,647,89,0,0,358,708,6662,1444,1089,1,8106,7190.53
2015,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6353,6352,1,716,645,71,0,0,373,719,6726,1435,1144,7,8161,7252.27
2016,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6375,6375,0,753,691,62,0,0,345,770,6720,1523,1202,7,8243,7279
2017,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6419,6418,1,761,716,45,0,0,353,780,6772,1541,1258,13,8313,7337.67
2018,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,6343,6343,0,714,672,42,0,0,353,877,6696,1591,1270,11,8287,7284.8
2019,26,MONROE,0,SUNY,0,PUBLIC,1,4-Year/Grad,230500,800000050056,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,5960,5960,0,713,664,49,0,0,349,902,6309,1615,1077,9,7924,6907.47
2010,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,8853,8840,13,1072,883,189,0,0,582,1912,9435,2984,1461,34,12419,10557.13
2011,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,8811,8797,14,1201,1009,192,0,0,511,1681,9322,2882,1392,35,12204,10394.73
2012,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,8606,8583,23,1141,978,163,0,0,516,1518,9122,2659,1347,24,11781,10109.53
2013,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,8293,8272,21,1062,918,144,0,0,506,1230,8799,2292,1336,28,11091,9645
2014,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,8326,8278,48,1149,907,242,0,0,514,1094,8840,2243,1877,37,11083,9660.6
2015,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,8137,8111,26,1050,907,143,0,0,442,701,8579,1751,1851,41,10330,9209.4
2016,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,7598,7590,8,884,770,114,0,0,416,577,8014,1461,1627,11,9475,8539.47
2017,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,7681,7639,42,1001,756,245,0,0,378,611,8059,1612,1823,11,9671,8637.07
2018,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,7291,7255,36,884,689,195,0,0,416,620,7707,1504,1759,18,9211,8249.67
2019,14,ERIE,0,SUNY,0,PUBLIC,1,4-Year/Grad,231000,800000052555,STATE UNIVERSITY OF NEW YORK COLLEGE AT BUFFALO,6928,6883,45,783,618,165,0,0,421,590,7349,1373,1671,17,8722,7846
2010,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6106,6088,18,204,99,105,0,0,391,657,6497,861,1218,3,7358,6827.8
2011,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6241,6232,9,130,112,18,0,0,370,590,6611,720,1201,4,7331,6890.33
2012,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6228,6224,4,117,104,13,0,0,250,503,6478,620,1210,3,7098,6718.2
2013,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6281,6281,0,119,113,6,0,0,256,454,6537,573,1207,1,7110,6758.27
2014,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6203,6203,0,114,108,6,0,0,227,414,6430,528,1196,6,6958,6633.6
2015,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6179,6179,0,104,97,7,0,0,242,401,6421,505,1214,0,6926,6616.07
2016,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6187,6187,0,117,105,12,0,0,208,388,6395,505,1238,2,6900,6589.2
2017,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6196,6195,1,150,138,12,0,0,197,370,6393,520,1288,1,6913,6591
2018,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6218,6218,0,125,107,18,0,0,173,342,6391,467,1220,1,6858,6569.47
2019,11,CORTLAND,0,SUNY,0,PUBLIC,1,4-Year/Grad,231500,800000053640,STATE UNIVERSITY OF NEW YORK COLLEGE AT CORTLAND,6170,6170,0,125,111,14,0,0,209,330,6379,455,1207,3,6834,6552.67
2010,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,4180,4089,91,6965,5981,984,0,0,73,767,4253,7732,143,98,11985,6881.47
2011,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,4346,4255,91,6644,5708,936,0,0,86,751,4432,7395,144,237,11827,6947.07
2012,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,4341,4266,75,6777,5769,1008,0,0,87,823,4428,7600,158,275,12028,7016.2
2013,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,4218,4133,85,6609,5660,949,0,0,91,905,4309,7514,188,185,11823,6874
2014,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,4249,4188,61,6624,5761,863,0,0,73,1006,4322,7630,185,164,11952,6932.4
2015,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,4278,4201,77,6529,5624,905,0,0,81,990,4359,7519,156,204,11878,6931.33
2016,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,3841,3729,112,6348,5332,1016,0,0,80,1046,3921,7394,165,186,11315,6455.4
2017,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,3773,3673,100,6038,4950,1088,0,0,89,1078,3862,7116,191,251,10978,6305.87
2018,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,3599,3523,76,5708,4875,833,0,0,89,1028,3688,6736,127,214,10424,6001.87
2019,52,SARATOGA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232000,800000038529,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,3267,3186,81,5828,4912,916,0,0,120,1225,3387,7053,109,249,10440,5819.67
2010,06,CHAUTAUQUA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232500,800000054188,STATE UNIVERSITY OF NEW YORK COLLEGE AT FREDONIA,5233,5228,5,154,104,50,0,0,201,185,5434,339,1075,4,5773,5559.33
2011,06,CHAUTAUQUA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232500,800000054188,STATE UNIVERSITY OF NEW YORK COLLEGE AT FREDONIA,5237,5235,2,150,96,54,0,0,182,151,5419,301,1123,1,5720,5529.4
2012,06,CHAUTAUQUA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232500,800000054188,STATE UNIVERSITY OF NEW YORK COLLEGE AT FREDONIA,5074,5069,5,157,102,55,0,0,175,115,5249,272,1003,1,5521,5347.33
2013,06,CHAUTAUQUA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232500,800000054188,STATE UNIVERSITY OF NEW YORK COLLEGE AT FREDONIA,4945,4940,5,147,109,38,0,0,204,95,5149,242,1098,11,5391,5236
2014,06,CHAUTAUQUA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232500,800000054188,STATE UNIVERSITY OF NEW YORK COLLEGE AT FREDONIA,4806,4795,11,130,105,25,0,0,189,90,4995,220,1060,11,5215,5074.33
2015,06,CHAUTAUQUA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232500,800000054188,STATE UNIVERSITY OF NEW YORK COLLEGE AT FREDONIA,4458,4442,16,124,100,24,0,0,153,107,4611,231,918,4,4842,4695.13
2016,06,CHAUTAUQUA,0,SUNY,0,PUBLIC,1,4-Year/Grad,232500,800000054188,STATE UNIVERSITY OF NEW YORK COLLEGE AT FREDONIA,4256,4253,3,124,99,25,0,0,143,80,4399,204,933,7,4603,4472.33
